Escalao,Segunda_Hora,Segunda_Pav,Terca_Hora,Terca_Pav,Quarta_Hora,Quarta_Pav,Quinta_Hora,Quinta_Pav,Sexta_Hora,Sexta_Pav,Sabado_Hora,Sabado_Pav
Sub 8/10,,, 18.30-20.00,SMMAIOR,,,18.30-20.00,SMMAIOR,,,10.30-12.30,Atlântico
Sub 12 M,18.30-20.00,Sec. SMM,18.30-20.00,Frei,,,18.30-20.00,Frei,,,, 
Sub 14 M,18.30-20.15,Frei,,,18.30-20.15,Frei,,,18.30-20.15,Frei,,
Sub 14 F,18.30-20.15,Sec. Monserrate,,,18.30-20.00,Atlântico,,,18.30-20.00,Atlântico,,
Sub 16 M,,,20.00-22.00,Frei,,,20.00-21.30,Frei,20.15-22.30,Frei,,
Sub 16/18 F,18.30-20.00,Atlântico,,,18.30-20.30,Seminário,,,20.00-21.30,Atlântico,,
Sub 18 M,20.15-22.15,Frei,,,20.15-22.15,Frei,,,20.30-22.15,Sec. Monserrate,,
Sub 23 M,20.00-21.30,Atlântico,20.00-21.15,Atlântico,,,,, 20.00-21.30,Atlântico,,
Seniores M,20.00-21.30,Sec. Monserrate,20.00-21.30,Sec. Monserrate,,,,,21.30-23.00,Sec. Monserrate
Seniores F,,,20.30-22.15,Sec. Monserrate,,,20.00-22.15,Sec. Monserrate,20.00-21.30,Atlântico,,
Veteranas,,,,,20.30-22.30,Seminário,,,,, 
Veteranos,,,,,,, 21.30-23.00,Frei,,,,
